epoch,accuracy,loss,val_accuracy,val_loss,val_zero_one_loss,zero_one_loss
0,0.6565783023834229,0.6683412790298462,0.6131489276885986,0.7417953610420227,0.38685107231140137,0.34342169761657715
1,0.7496748566627502,0.512933075428009,0.7568650841712952,0.5292700529098511,0.24313490092754364,0.25032517313957214
2,0.8104552030563354,0.4190351068973541,0.7676889300346375,0.5405442118644714,0.23231108486652374,0.18954476714134216
3,0.8522761464118958,0.3372146487236023,0.8771296739578247,0.3009675443172455,0.1228703111410141,0.14772386848926544
4,0.880090057849884,0.2830580174922943,0.8785327672958374,0.2818275988101959,0.121467225253582,0.11990995705127716
5,0.8963481783866882,0.24722251296043396,0.8550812005996704,0.3468143939971924,0.14491881430149078,0.10365182906389236
6,0.9083041548728943,0.22356759011745453,0.8969733119010925,0.23831383883953094,0.10302665829658508,0.09169584512710571
7,0.9210104942321777,0.1954689919948578,0.894768476486206,0.2555052638053894,0.10523150861263275,0.07898949831724167
8,0.9283141493797302,0.18127742409706116,0.8352375030517578,0.3753533959388733,0.164762482047081,0.07168584316968918
9,0.9386693239212036,0.1580483764410019,0.9102024435997009,0.22997912764549255,0.08979755640029907,0.06133066490292549
10,0.946273148059845,0.13779282569885254,0.8376427888870239,0.39375194907188416,0.1623571813106537,0.053726863116025925
11,0.9535267353057861,0.12160567939281464,0.911405086517334,0.22632259130477905,0.08859490603208542,0.04647323489189148
12,0.9571785926818848,0.1093372255563736,0.9065945148468018,0.262668251991272,0.09340549260377884,0.04282141104340553
13,0.9627813696861267,0.09750499576330185,0.9322509765625,0.18557800352573395,0.06774904578924179,0.0372186079621315
14,0.9648824334144592,0.09227196872234344,0.9180196523666382,0.22416195273399353,0.08198035508394241,0.035117559134960175
15,0.9722861647605896,0.0763857364654541,0.9162156581878662,0.2592867314815521,0.0837843269109726,0.02771385759115219
16,0.9735367894172668,0.0741211473941803,0.9264381527900696,0.2096252143383026,0.07356183975934982,0.026463231071829796
17,0.9749875068664551,0.06684800237417221,0.9276407957077026,0.20160090923309326,0.07235918939113617,0.025012506172060966
18,0.9786393046379089,0.05917873606085777,0.9096011519432068,0.3074416220188141,0.0903988778591156,0.02136068046092987
19,0.977838933467865,0.05946560204029083,0.9087993502616882,0.2918696403503418,0.09120064228773117,0.022161081433296204
20,0.9821410775184631,0.051487766206264496,0.9202244877815247,0.2714166045188904,0.07977550476789474,0.017858929932117462
21,0.9824912548065186,0.050326235592365265,0.9374623894691467,0.19956278800964355,0.06253758072853088,0.01750875450670719
22,0.9829414486885071,0.04774170741438866,0.9288434386253357,0.22920677065849304,0.07115654647350311,0.01705852895975113
23,0.9846923351287842,0.04377523064613342,0.9296452403068542,0.39813145995140076,0.07035478204488754,0.015307653695344925
